"split1","split2","split3","split4","split5","split6","split7","split8","split9","split10","comp","set","lambda1"
0.802729599151566,0.801938040970909,0.801698053292815,0.800355509367017,0.804928884767993,0.803026724935068,0.804265224378087,0.803244924345629,0.800198786957941,0.802543773562207,1,"train",0.001
0.800409219806904,0.80181466592232,0.800086911248369,0.799592184759685,0.800138950401471,0.8012613314756,0.800296715226377,0.799854514988985,0.798568434289137,0.800435845203469,2,"train",0.001
0.796093520012755,0.79905843463381,0.797111330672571,0.7942133509215,0.798457034724173,0.79950526236598,0.797799510520156,0.794525267808218,0.797641948352408,0.797794589602769,3,"train",0.001
0.793685676128672,0.792619659744179,0.792325230960226,0.792381764909062,0.793738350139321,0.798052267207702,0.793256002175333,0.790977356011502,0.792292273999171,0.79370230376079,4,"train",0.001
0.792335599708311,0.789370693038203,0.78934838723432,0.787999538735885,0.791237184362288,0.792860182650721,0.789572615933251,0.786997016442596,0.78991394229324,0.790246508486548,5,"train",0.001
0.787082281421414,0.784760999553045,0.786306974657064,0.786658425439423,0.78775102024743,0.785574574857612,0.785162044876312,0.781229019161741,0.78340969100796,0.784973977938209,6,"train",0.001
-0.00395483537420128,-0.0116723161833567,0.0642229588836031,0.107986479495422,-0.155191694163406,0.0799458299430319,-0.0703791811048777,-0.183837424700788,0.0976027610248955,0.065961106646877,1,"test",0.001
0.17157123448466,0.0326139572964506,0.157129161865022,0.0967400444661018,0.0993284372893902,0.115435381978874,0.151321019000346,0.0825944095257465,0.305298615293907,0.115458733034228,2,"test",0.001
0.103674665032036,0.192588535376948,0.024233907095666,0.214696548071677,0.0258764866922429,0.110103986120728,0.238858320305184,0.285181650535477,-0.118963495009941,0.00504010324767733,3,"test",0.001
0.303706944093401,0.119138402228162,0.149933052726086,-0.0782568897447341,0.0675517129470853,-0.0831954289932744,0.089884960243984,0.167861974001998,0.101878684452975,-0.0541029995887088,4,"test",0.001
-0.212871797284009,0.213804306856453,-0.0200045928519461,0.0951388631615726,-0.159337995998655,-0.111739700217855,0.191572513531671,0.148175049631689,-0.122437234967128,0.0394459569230454,5,"test",0.001
-0.166511575765735,0.0322746090047606,-0.135195474703797,-0.114449099044608,-0.283759919607653,0.0922628234172293,0.101484031607147,0.232424004083736,0.0789747926828339,-0.00888301704034753,6,"test",0.001
0.401069827879326,0.40183786839315,0.399204671747298,0.398521308981167,0.406257884570328,0.402021823498385,0.404465810900247,0.40253863477177,0.39954045205681,0.401972464226112,1,"train",0.01
0.397544842767828,0.397598063627052,0.396776405069832,0.395634798679595,0.397156813871713,0.399314677608422,0.395473769401539,0.396291505690507,0.396631779849755,0.398533333878611,2,"train",0.01
0.392887138002804,0.396136258679016,0.393902234784344,0.391394196678554,0.394242359642918,0.395106477378285,0.394481947148581,0.390471220015975,0.393066940936388,0.395064187974095,3,"train",0.01
0.388290126079512,0.385958452053148,0.385587863714331,0.385499399756339,0.388214168239705,0.392428848739493,0.386316252866659,0.384589443016915,0.385859848807589,0.387107769892678,4,"train",0.01
0.385296845974374,0.382288641065863,0.381275560687079,0.381256870489768,0.384381448602131,0.386166190044229,0.382277321005826,0.37866208035557,0.383182933610885,0.383076790050432,5,"train",0.01
0.380268597987665,0.378082786276845,0.380232574567455,0.378750457814244,0.38108077551978,0.379749349789047,0.37779954474247,0.374687212276897,0.376169993815185,0.378200630755121,6,"train",0.01
0.117054927314143,-0.0322423477817552,0.135399962121911,0.263898131557762,-0.180267905564547,0.0837699965891849,-0.0702947337821658,-0.0679212232199738,0.137032033207533,0.113524080357928,1,"test",0.01
0.136963590002224,0.097859084978387,0.130018871909466,-0.0861040680617596,0.0513152046713154,0.134832785133466,0.149153572594276,0.0718716411688327,-0.0127307301742087,-0.0200859749503918,2,"test",0.01
0.180047030480373,0.204539264619747,-0.0216065372899701,0.303184352469641,0.199292572169834,0.236600824650679,0.342209012190297,0.312286045546443,0.246896524760913,0.0243775625241677,3,"test",0.01
0.063244016401857,0.142408996280574,0.220148115359343,-0.0914163701157085,-0.0766283863109787,-0.145863000667994,0.134742655408635,0.145638039068882,0.0900669432983663,-0.0160537715919101,4,"test",0.01
-0.240114265173758,0.0816306093256261,0.0779322780858129,0.0126831360092902,-0.166585239934119,-0.125850082042128,0.135850468320367,0.117860510402807,-0.195194747299833,-0.0615659168509209,5,"test",0.01
-0.18679712020621,-0.00854056721755117,-0.186196973339033,-0.109424774135305,-0.278680449314426,0.00600731942382916,0.16968946812466,0.181267022221678,0.148236526628634,-0.00561612763355745,6,"test",0.01
0.138773570678073,0.140152603707947,0.138047308570261,0.1380623721608,0.141825801325335,0.139853685142672,0.140738259464712,0.139645680747312,0.138406299723246,0.139716005102483,1,"train",0.1
0.137171498159462,0.137128631982057,0.13655155587478,0.136009255842982,0.13719957416228,0.137909816073373,0.136211577704311,0.136511400714694,0.137098748759746,0.137813087329993,2,"train",0.1
0.135195089326081,0.135978354565141,0.135694695051637,0.134553917898036,0.135254825889391,0.135650393441892,0.135378918323859,0.134051014705435,0.134892523760607,0.135705031857433,3,"train",0.1
0.132939136474531,0.131859304579182,0.131715299900067,0.131712974711124,0.132842338770538,0.134457322151093,0.131978619335985,0.131437480086325,0.131886543686071,0.13233684696902,4,"train",0.1
