"split1","split2","split3","split4","split5","split6","split7","split8","split9","split10","comp","set","lambda1"
0.999718808327803,0.999716474468663,0.999715711365737,0.999714409143053,0.999719111824355,0.99972121647933,0.999720691114283,0.99971874207357,0.999714026586598,0.999719146110361,1,"train",1e-06
0.999711345748188,0.99971304325789,0.9997095348568,0.999710002974209,0.999711705375519,0.999714393718126,0.999712299671246,0.999709021057443,0.999709140419934,0.999712768124371,2,"train",1e-06
0.999702341892221,0.999710414619172,0.999704763528848,0.999704159907074,0.999710494460044,0.999710711298574,0.999709475607202,0.99970062481704,0.999706439183692,0.999710672358444,3,"train",1e-06
0.999701113959518,0.999697264039659,0.999696600251302,0.999697177918689,0.999698665822475,0.999706793774773,0.999699024882583,0.999692131247345,0.999696603934604,0.999699386812485,4,"train",1e-06
0.999697257036097,0.999689969786547,0.99968974314441,0.999688135593569,0.999693428864503,0.999698560586347,0.999692902888303,0.999686528286815,0.999691711653137,0.999691700420819,5,"train",1e-06
0.999684595068205,0.999679321615851,0.999681967706323,0.999686267700729,0.999685240736884,0.999682018268154,0.999678056427425,0.999669947383255,0.999672885783959,0.999680144861413,6,"train",1e-06
0.121080378358418,0.196377844919669,0.192303458904988,0.246466463463622,0.0524893373522484,0.169302503673759,-0.0312764830055968,-0.0609028570519182,0.0661083320535994,-0.0717856372074671,1,"test",1e-06
-0.0217082594674022,0.0317618803443145,0.108499344145467,-0.030405572254485,0.0908942763593754,-0.0287641786817543,0.150869763356453,0.0833026036326852,0.0556906655282722,-0.0134635933818453,2,"test",1e-06
0.323606781023912,0.0988898224466558,0.178681997064086,0.136487788959428,-0.00925236948301636,0.0782851750755157,0.0838677891224905,0.184911462149779,0.0840112455099702,0.0515673283168339,3,"test",1e-06
0.120403880251657,0.0672913987311626,0.12321981704482,-0.105304072622432,0.0496730009248336,-0.00505415173401309,0.00250619628738117,0.205953450265216,0.0143650404947997,-0.0716247375049591,4,"test",1e-06
-0.10069458122812,0.268898034140629,0.0945715536308515,0.0170355618667751,-0.104803192036191,-0.22247963427246,0.125631833742464,0.058617739244269,-0.113613048946864,0.0551157338691533,5,"test",1e-06
-0.1614237727913,0.0753242013883665,-0.128378962216121,0.0113052963343719,-0.290790098504964,-0.00201323726598431,0.242260343470266,0.301014239367103,0.250913123353447,-0.0802382723832219,6,"test",1e-06
0.997200084280895,0.997176412776194,0.997169199016263,0.997156250809319,0.99720350133502,0.997223906488678,0.99721900303933,0.997199398394289,0.997152866175366,0.997203769898931,1,"train",1e-05
0.997126415732133,0.99714304666783,0.99710831662843,0.997112735528423,0.997129270990097,0.997156168439717,0.997135089398447,0.997103057286951,0.997103980381709,0.997139930410312,2,"train",1e-05
0.997036976806369,0.997117373982551,0.99706059963869,0.997054656935217,0.99711761235674,0.99711950311498,0.997107518899874,0.997019711485055,0.997077387712865,0.997119472195373,3,"train",1e-05
0.997024164323389,0.996986119587968,0.996979540920381,0.996985053101648,0.997000258791651,0.997080946747377,0.99700337631216,0.996935383611525,0.99697949833547,0.997007070501094,4,"train",1e-05
0.99698589662516,0.996913913537554,0.996911760438077,0.996895337631053,0.996948319565062,0.996998777960071,0.996942698484372,0.996879663210354,0.996931074791602,0.99693096597376,5,"train",1e-05
0.9968619619556,0.996810154013045,0.996836544154158,0.996877152226461,0.996868691651189,0.996837312641672,0.996797866591485,0.996717491073282,0.996747037977242,0.996818268982481,6,"train",1e-05
0.122027710848524,0.19746890051492,0.19207093651764,0.247409985541175,0.0502834834338366,0.169407352926981,-0.031614080204182,-0.06000318684369,0.0649172350241584,-0.0716040375564227,1,"test",1e-05
-0.0219137215163022,0.0316999280266463,0.108057671112667,-0.0318456165532445,0.0921323347222004,-0.0279972920843003,0.15256869036534,0.0835696310053575,0.0580538190325096,-0.0149403692210245,2,"test",1e-05
0.331239822690523,0.0975705040975698,0.178952624639509,0.137598097859997,-0.00898664812616327,0.0812769233949409,0.0848252469951136,0.186325038878851,0.0857724877522277,0.0537652697135966,3,"test",1e-05
0.107194921094485,0.0689602243755149,0.125066158469172,-0.104885743905421,0.0479436374695488,-0.00663011207495859,0.00345178759124659,0.205528184200942,0.0157229280800814,-0.070615676425067,4,"test",1e-05
-0.101677355352287,0.267739563858013,0.0916836139872563,0.0170410569870318,-0.107524119246471,-0.222217571222145,0.12581874530596,0.0580136703751484,-0.115107219493185,0.0527346537610466,5,"test",1e-05
-0.161149258970156,0.0734331813574421,-0.127588242789567,0.01097407477585,-0.288296767285728,-0.00396608795509326,0.242916355870146,0.301816561146387,0.249459616278513,-0.0790329412164728,6,"test",1e-05
0.973136381569399,0.972872196814651,0.972834299345501,0.972715214971031,0.973198607707365,0.973350997278507,0.973329313995983,0.973126315673428,0.972718675404441,0.973197143668803,1,"train",1e-04
0.972475739588489,0.972620289920438,0.972302116690963,0.972324594925077,0.972448761171414,0.972717854887151,0.972496673529079,0.972239627344327,0.972226784815742,0.972560762638163,2,"train",1e-04
0.971644704047898,0.972409204341293,0.971831333361222,0.971780434489779,0.972372100951942,0.972367287118889,0.972278505519415,0.971464789786644,0.97199867807284,0.972392038400755,3,"train",1e-04
0.971471880917595,0.971133200454809,0.97107295322085,0.971106275248523,0.971283867355003,0.972032505993568,0.971275539565315,0.970677361867381,0.971066641740288,0.971318231975517,4,"train",1e-04
0.971118781164704,0.970474147800472,0.97046041084569,0.970275036720871,0.970799146660757,0.971233002112163,0.970718948166572,0.97014782913645,0.97062545283158,0.970625030288338,5,"train",1e-04
0.970083097413627,0.969643133018177,0.969894303900567,0.970133409891925,0.97016703085475,0.96992074471637,0.969546756480573,0.96881274275748,0.969108368728172,0.96970812916133,6,"train",1e-04
0.129977981633448,0.210532589419629,0.190920856570266,0.255646774315733,0.0323294545424966,0.170055574793,-0.0342015436092223,-0.0518647566925661,0.0553362134925285,-0.0709030606631483,1,"test",1e-04
-0.0230536735947421,0.0296097060776178,0.10310462489302,-0.0444562238120644,0.102492576947039,-0.0208330264680656,0.167043414720315,0.0853534667127489,0.0751617192957695,-0.0285300306384725,2,"test",1e-04
0.369166389652648,0.085560675426461,0.181016293616424,0.147115550368772,-0.00643978671605465,0.108000514295902,0.0930676186460826,0.198546383083303,0.102608974759999,0.0735546346684842,3,"test",1e-04
0.038742220059308,0.0830117572792788,0.141284516193597,-0.101349457432456,0.0317139007832433,-0.0228419837993109,0.0123938587406985,0.202864660168322,0.0267729481677297,-0.0619590704686802,4,"test",1e-04
-0.112348276566507,0.257199360247061,0.0666199677255917,0.0180311651162483,-0.126431272087576,-0.219683158715606,0.126421321758207,0.0547230504307267,-0.127843079739663,0.032080667499575,5,"test",1e-04
-0.158462389919218,0.0551963267993919,-0.119831049555436,0.00679328479574292,-0.269288300073308,-0.0194853599702355,0.247905345551477,0.306190927599578,0.237229270721072,-0.0656884345861253,6,"test",1e-04
0.805187639663242,0.802840637763169,0.802664240875116,0.802571515662167,0.806069585983522,0.806252359791139,0.806605503148054,0.804898923376167,0.803498543518822,0.806318860913937,1,"train",0.001
0.801118483801982,0.801787931493463,0.800606508084388,0.799961047483834,0.800884697525335,0.80229990889997,0.800198010401055,0.799728550059932,0.799398373527394,0.801610646977866,2,"train",0.001
