"c_pair","RCCA1"
"c_1_2",0
"c_1_3",0
"c_2_3",0
"c_1_4",0
"c_2_4",0
"c_3_4",0
"c_1_5",0
"c_2_5",0
"c_3_5",0
"c_4_5",0
"c_1_6",0
"c_2_6",0
"c_3_6",0
"c_4_6",0
"c_5_6",0
"c_1_7",0
"c_2_7",0
"c_3_7",0
"c_4_7",0
"c_5_7",0
"c_6_7",0
"c_1_8",0
"c_2_8",0
"c_3_8",0
"c_4_8",0
"c_5_8",0
"c_6_8",0
"c_7_8",0
"c_1_9",0
"c_2_9",0
"c_3_9",0
"c_4_9",0
"c_5_9",0
"c_6_9",0
"c_7_9",0
"c_8_9",0
"c_1_10",0
"c_2_10",0
"c_3_10",0
"c_4_10",0
"c_5_10",0
"c_6_10",0
"c_7_10",0
"c_8_10",0
"c_9_10",0
"c_1_11",0
"c_2_11",0
"c_3_11",0
"c_4_11",0
"c_5_11",0
"c_6_11",0
"c_7_11",0
"c_8_11",0
"c_9_11",0
"c_10_11",0
"c_1_12",0
"c_2_12",0
"c_3_12",0
"c_4_12",0
"c_5_12",0
"c_6_12",0
"c_7_12",0
"c_8_12",0
"c_9_12",0
"c_10_12",0
"c_11_12",0
"c_1_13",0
"c_2_13",0
"c_3_13",0
"c_4_13",0
"c_5_13",0
"c_6_13",0
"c_7_13",0
"c_8_13",0
"c_9_13",0
"c_10_13",0
"c_11_13",0
"c_12_13",0
"c_1_14",0
"c_2_14",0
"c_3_14",0
"c_4_14",0
"c_5_14",0
"c_6_14",0
"c_7_14",0
"c_8_14",0
"c_9_14",0
"c_10_14",0
"c_11_14",0
"c_12_14",0
"c_13_14",0
"c_1_15",0
"c_2_15",0
"c_3_15",0
"c_4_15",0
"c_5_15",0
"c_6_15",0
"c_7_15",0
"c_8_15",0
"c_9_15",0
"c_10_15",0
"c_11_15",0
"c_12_15",0
"c_13_15",0
"c_14_15",0
"c_1_16",0
"c_2_16",0
"c_3_16",0
"c_4_16",0
"c_5_16",0
"c_6_16",0
"c_7_16",0
"c_8_16",0
"c_9_16",0
"c_10_16",0
"c_11_16",0
"c_12_16",0
"c_13_16",0
"c_14_16",0
"c_15_16",0
"c_1_17",0
"c_2_17",0
"c_3_17",0
"c_4_17",0
"c_5_17",0
"c_6_17",0
"c_7_17",0
"c_8_17",0
"c_9_17",0
"c_10_17",0
"c_11_17",0
"c_12_17",0
"c_13_17",0
"c_14_17",0
"c_15_17",0
"c_16_17",0
"c_1_18",0
"c_2_18",0
"c_3_18",0
"c_4_18",0
"c_5_18",0
"c_6_18",0
"c_7_18",0
"c_8_18",0
"c_9_18",0
"c_10_18",0
"c_11_18",0
"c_12_18",0
"c_13_18",0
"c_14_18",0
"c_15_18",0
"c_16_18",0
"c_17_18",0
"c_1_19",0
"c_2_19",0
"c_3_19",0
"c_4_19",0
"c_5_19",0
"c_6_19",0
"c_7_19",0
"c_8_19",0
"c_9_19",0
"c_10_19",0
"c_11_19",0
"c_12_19",0
"c_13_19",0
"c_14_19",0
"c_15_19",0
"c_16_19",0
"c_17_19",0
"c_18_19",0
"c_1_20",0
"c_2_20",0
"c_3_20",0
"c_4_20",0
"c_5_20",0
"c_6_20",0
"c_7_20",0
"c_8_20",0
"c_9_20",0
"c_10_20",0
"c_11_20",0
"c_12_20",0
"c_13_20",0
"c_14_20",0
"c_15_20",0
"c_16_20",0
