"Subject","Gender","Motion"
"100307","F",2
"100408","M",2
"100610","M",5
"101006","F",3
"101309","M",3
"101915","F",2
"102008","M",3
"102311","F",4
"102513","M",3
"102816","F",10
"103111","M",2
"103414","F",4
"103515","F",2
"103818","F",2
"104012","F",4
"104416","F",2
"104820","F",3
"105014","F",2
"105115","M",2
"105216","M",2
"105923","F",6
"106319","M",3
"106521","F",3
"107018","F",2
"107321","F",4
"107422","M",3
"107725","F",11
"108121","F",4
"108222","M",2
"108525","M",6
"108828","M",3
"109123","M",4
"109325","M",2
"110411","M",3
"111009","F",4
"111413","F",2
"111514","M",2
"112516","F",4
"112920","M",2
"113215","F",2
"113619","F",2
"113922","M",4
"114217","F",2
"114318","F",5
"114419","M",2
"114621","M",4
"114823","F",3
"115017","F",2
"115219","M",5
"115320","F",3
"115825","M",3
"116524","M",11
"117122","F",2
"117324","F",4
"117930","F",2
"118023","F",2
"118124","F",3
"118225","M",2
"118730","M",2
"118932","M",2
"120111","F",2
"120212","F",2
"120717","F",3
"121416","M",2
"121618","M",3
"121921","M",5
"122317","M",2
"122822","F",2
"123117","M",2
"123420","F",2
"123521","M",2
"123723","F",8
"123925","F",7
"124220","M",2
"124624","F",2
"124826","F",2
"125525","F",2
"126325","F",2
"126628","M",8
"127226","M",2
"127630","F",3
"127731","F",3
"127832","F",2
"127933","M",2
"128127","F",3
"128632","F",4
"128935","M",3
"129028","M",3
"129129","F",7
"129331","F",6
"130013","M",3
"130114","M",2
"130316","F",2
"130417","M",3
"130619","F",2
"130821","F",8
"130922","F",2
"131217","F",7
"131419","F",2
"131722","F",2
"131924","M",2
"132017","F",2
"133019","F",3
"133625","M",2
"133827","M",5
"133928","M",5
"134324","M",13
"134425","F",4
"135225","F",3
"135528","F",2
"135730","M",2
"135932","F",2
"136227","M",2
"136732","F",2
"136833","M",3
"137027","M",2
"137128","F",2
"137229","M",3
"137633","F",2
"137936","M",5
"138231","F",3
"138534","M",2
"139839","M",2
"140824","M",13
"140925","F",9
"141119","M",2
"141422","F",5
"142828","M",2
"143325","F",2
"144428","M",7
"144731","F",2
"144832","F",4
"145834","F",3
"146331","F",7
"146432","M",4
"146937","F",2
"147636","F",3
"148032","F",2
"148133","F",2
"148335","F",2
"148941","M",2
"149236","F",2
"149337","M",3
"149539","M",2
"149741","M",7
"149842","F",2
"150726","M",2
"151223","F",2
"151324","M",2
"151425","F",2
"151526","M",3
"151627","F",4
"151829","F",2
"152225","M",2
"152831","M",3
"153025","F",3
"153429","M",2
"153631","F",3
"153833","F",6
"154229","F",2
"154330","M",41
"154431","F",2
"154532","M",2
"154734","M",2
"154835","F",2
"154936","M",2
"155938","M",2
"156233","F",18
"156334","F",4
"156637","M",3
"157336","F",4
"157437","F",5
"157942","F",2
"158035","F",2
"158136","M",4
"158338","M",2
"158540","M",2
"159138","M",3
"159239","F",2
"159340","M",4
"159441","F",3
"160123","M",2
"160729","F",5
"161327","F",3
"161731","F",2
"162026","F",2
"162228","M",4
"162329","F",2
"162935","M",3
"163129","M",2
"163331","M",6
"163836","F",3
"164030","M",2
"164131","M",2
"164636","M",3
"164939","F",5
"165032","M",3
"165638","M",5
"165840","M",2
"166640","M",7
"167036","F",2
"167743","F",2
"168240","M",4
"168341","M",8
"169040","M",17
"169343","F",2
"169444","F",2
"171330","M",4
"171532","F",2
"171633","M",5
"172029","M",4
"172130","M",4
"172332","F",3
"172534","F",5
"172938","F",4
"173334","M",2
"173435","F",2
"173536","F",2
"173637","F",13
"173940","F",2
"174437","F",2
"174841","M",8
"175237","F",2
"175338","F",2
"175439","F",3
"175540","M",2
"175742","F",3
"176037","F",2
"176542","F",2
"177645","F",2
"178142","F",5
"178243","M",2
"178748","M",7
"178950","M",2
"179245","F",2
"179346","F",4
"180129","F",3
"180432","F",2
"180735","F",3
"180937","M",2
"181636","F",30
"182436","F",2
"182739","F",2
"183034","M",3
"185139","F",2
"185341","F",2
"185442","M",3
"185846","M",6
"185947","F",6
"186141","M",5
"186444","F",9
"187143","M",3
"187345","F",2
"187547","F",2
"187850","M",4
"188347","F",2
"188549","M",3
"188751","M",3
"189349","F",2
"189450","M",5
"190031","F",2
"191033","F",2
"191235","M",3
"191336","M",2
"191437","F",2
"192035","F",2
"192439","F",2
"192540","F",3
"192641","F",4
"192843","M",3
"193239","F",2
"194140","F",2
"194645","M",2
"194746","M",2
"195041","F",3
"195445","F",2
"195647","F",2
"195950","M",2
"196144","F",2
"196750","F",8
"197348","F",3
"197550","F",3
"198350","M",2
"198451","M",2
"198653","M",3
"198855","M",2
"199150","F",2
"199251","F",2
"199453","M",4
"200008","F",2
"200109","F",2
"200311","M",3
"200614","F",2
"201111","M",3
"201414","F",2
"201818","F",3
"202113","F",3
"203923","F",9
"204016","F",7
"204319","F",2
"204420","F",3
"204521","F",2
"204622","F",3
"205119","M",5
"205220","F",2
"205725","F",2
"205826","M",5
"206525","M",2
"206727","M",4
"207123","M",3
"207426","M",3
"208024","F",6
"208125","F",3
"208226","F",4
"208327","M",3
"209127","F",5
"209228","F",3
"209834","F",2
"209935","M",3
"210011","M",2
"210415","F",3
"210617","F",6
"211114","F",14
"211316","F",3
"211417","M",2
"211821","M",2
"211922","F",7
"212116","M",3
"212217","F",2
"212318","F",2
"212419","F",3
"212823","M",3
"214019","F",2
"214221","F",5
"214423","M",3
"214524","M",4
"214726","M",4
"217126","M",6
"217429","F",2
"219231","M",2
"220721","M",2
"221319","F",10
"223929","M",51
"227432","M",2
"228434","F",4
"233326","M",2
"239136","F",2
"239944","F",2
"245333","F",5
"246133","F",2
"248339","M",3
"249947","F",4
"250427","F",2
"250932","F",4
"251833","M",2
"255639","F",3
"255740","F",2
"256540","F",5
"257845","M",5
"263436","F",14
"268749","M",3
"268850","F",2
"275645","M",2
"283543","M",3
"285345","F",2
"285446","M",2
"286650","M",2
"287248","F",3
"289555","F",2
"290136","F",2
"293748","F",2
"295146","F",5
"298051","F",2
"298455","M",2
"300618","M",2
"303119","F",5
"303624","M",4
"304020","M",4
"304727","F",3
"305830","F",4
"307127","F",2
"309636","F",3
"310621","F",2
"311320","M",3
"316633","F",2
"316835","F",3
"318637","M",2
"322224","F",3
"329440","M",3
"329844","M",3
"330324","M",2
"333330","F",3
"334635","F",3
"341834","M",2
"342129","M",10
"346137","M",2
"346945","F",2
"348545","M",6
"349244","M",2
"352132","M",3
"352738","M",3
"353740","M",2
"356948","F",2
"358144","F",2
"361941","M",2
"365343","F",3
"366042","F",2
"366446","M",6
"368551","M",2
"371843","F",2
"377451","F",3
"378857","F",2
"379657","F",3
"380036","M",3
"381038","F",2
"381543","F",2
"385450","M",2
"387959","M",3
"389357","F",3
"390645","F",4
"392447","M",4
"395958","M",7
"397154","F",2
"397760","M",2
"397861","M",4
"406432","M",4
"406836","F",2
"412528","F",3
"414229","M",2
"422632","F",3
"424939","M",2
"429040","F",3
"432332","F",2
"436239","F",2
"436845","F",3
"441939","F",6
"445543","M",5
"448347","M",2
"456346","F",2
"459453","F",2
"467351","M",3
"475855","F",2
"479762","M",2
"481951","F",3
"485757","F",2
"486759","M",2
"495255","M",2
"497865","M",2
"499566","F",3
"500222","F",3
"510225","F",2
"512835","M",3
"513736","F",2
"519950","F",2
"520228","M",3
"523032","M",4
"524135","M",3
"525541","F",3
"529549","F",2
"529953","M",2
"530635","M",2
"531536","M",3
"536647","F",2
"540436","M",2
"541640","M",3
"541943","F",2
"545345","M",2
"547046","F",2
"548250","M",3
"555348","F",3
"557857","M",6
"559053","F",2
"561242","F",2
"562345","F",10
"562446","F",2
"565452","F",2
"566454","F",2
"567052","M",2
"567961","F",2
"568963","F",2
"570243","F",2
"571144","M",6
"572045","F",2
"573249","M",2
"573451","M",3
"579665","F",3
"579867","F",3
"580044","F",2
"580650","F",2
"580751","M",2
"581349","M",5
"581450","M",5
"583858","M",2
"585862","F",4
"586460","F",3
"587664","F",3
"588565","M",2
"592455","M",4
"594156","M",2
"598568","M",2
"599065","M",2
"599671","M",22
"601127","M",2
"611938","M",3
"613538","F",3
"615744","F",2
"620434","F",4
"623844","M",3
"626648","F",2
"627852","M",4
"633847","F",2
"638049","F",2
"645450","F",2
"645551","F",2
"654350","F",3
"654754","F",8
"656253","M",2
"660951","F",2
"665254","F",2
"667056","M",2
"668361","M",2
"671855","M",2
"672756","M",3
"673455","F",3
"677766","M",4
"677968","F",7
"679568","F",4
"679770","M",2
"680250","F",7
"680957","F",2
"683256","F",2
"685058","M",2
"687163","M",3
