"Subject","Gender","Motion"
"100307","F",10
"100408","M",21
"100610","M",8
"101006","F",21
"101309","M",29
"101915","F",11
"102008","M",62
"102311","F",53
"102513","M",62
"102816","F",456
"103111","M",3
"103414","F",445
"103515","F",25
"103818","F",40
"104012","F",237
"104416","F",6
"104820","F",19
"105014","F",8
"105115","M",15
"105216","M",19
"105923","F",97
"106319","M",208
"106521","F",10
"107018","F",65
"107321","F",69
"107422","M",40
"107725","F",68
"108121","F",31
"108222","M",34
"108525","M",49
"108828","M",35
"109123","M",80
"109325","M",13
"110411","M",48
"111009","F",3
"111413","F",4
"111514","M",5
"112516","F",13
"112920","M",91
"113215","F",67
"113619","F",7
"113922","M",28
"114217","F",37
"114318","F",29
"114419","M",9
"114621","M",17
"114823","F",14
"115017","F",40
"115219","M",65
"115320","F",4
"115825","M",196
"116524","M",68
"117122","F",46
"117324","F",9
"117930","F",7
"118023","F",92
"118124","F",8
"118225","M",9
"118730","M",8
"118932","M",22
"120111","F",24
"120212","F",19
"120717","F",20
"121416","M",11
"121618","M",14
"121921","M",47
"122317","M",8
"122822","F",20
"123117","M",22
"123420","F",131
"123521","M",5
"123723","F",22
"123925","F",79
"124220","M",7
"124624","F",55
"124826","F",7
"125525","F",23
"126325","F",27
"126628","M",78
"127226","M",15
"127630","F",5
"127731","F",43
"127832","F",59
"127933","M",39
"128127","F",42
"128632","F",55
"128935","M",8
"129028","M",5
"129129","F",31
"129331","F",41
"130013","M",16
"130114","M",39
"130316","F",19
"130417","M",29
"130619","F",20
"130821","F",57
"130922","F",6
"131217","F",28
"131419","F",15
"131722","F",39
"131924","M",26
"132017","F",20
"133019","F",58
"133625","M",6
"133827","M",28
"133928","M",20
"134324","M",43
"134425","F",37
"135225","F",44
"135528","F",29
"135730","M",13
"135932","F",36
"136227","M",6
"136732","F",11
"136833","M",29
"137027","M",41
"137128","F",29
"137229","M",9
"137633","F",26
"137936","M",55
"138231","F",7
"138534","M",122
"139839","M",5
"140824","M",58
"140925","F",85
"141119","M",92
"141422","F",11
"142828","M",33
"143325","F",30
"144428","M",90
"144731","F",41
"144832","F",24
"145834","F",19
"146331","F",22
"146432","M",58
"146937","F",11
"147636","F",45
"148032","F",8
"148133","F",24
"148335","F",3
"148941","M",27
"149236","F",3
"149337","M",13
"149539","M",7
"149741","M",8
"149842","F",17
"150726","M",6
"151223","F",65
"151324","M",118
"151425","F",22
"151526","M",50
"151627","F",36
"151829","F",8
"152225","M",18
"152831","M",51
"153025","F",27
"153429","M",7
"153631","F",12
"153833","F",51
"154229","F",11
"154330","M",66
"154431","F",16
"154532","M",9
"154734","M",9
"154835","F",9
"154936","M",16
"155938","M",21
"156233","F",114
"156334","F",8
"156637","M",23
"157336","F",24
"157437","F",99
"157942","F",37
"158035","F",2
"158136","M",11
"158338","M",23
"158540","M",38
"159138","M",41
"159239","F",5
"159340","M",18
"159441","F",28
"160123","M",7
"160729","F",24
"161327","F",14
"161731","F",28
"162026","F",12
"162228","M",9
"162329","F",71
"162935","M",9
"163129","M",43
"163331","M",16
"163836","F",10
"164030","M",12
"164131","M",51
"164636","M",12
"164939","F",41
"165032","M",28
"165638","M",60
"165840","M",35
"166640","M",135
"167036","F",11
"167743","F",13
"168240","M",13
"168341","M",128
"169040","M",131
"169343","F",15
"169444","F",10
"171330","M",6
"171532","F",38
"171633","M",43
"172029","M",38
"172130","M",44
"172332","F",4
"172534","F",32
"172938","F",9
"173334","M",65
"173435","F",13
"173536","F",8
"173637","F",129
"173940","F",5
"174437","F",28
"174841","M",29
"175237","F",5
"175338","F",15
"175439","F",16
"175540","M",33
"175742","F",6
"176037","F",2
"176542","F",45
"177645","F",11
"178142","F",31
"178243","M",19
"178748","M",66
"178950","M",6
"179245","F",76
"179346","F",21
"180129","F",18
"180432","F",15
"180735","F",24
"180937","M",8
"181636","F",75
"182436","F",19
"182739","F",3
"183034","M",37
"185139","F",6
"185341","F",15
"185442","M",9
"185846","M",29
"185947","F",16
"186141","M",14
"186444","F",90
"187143","M",28
"187345","F",28
"187547","F",24
"187850","M",55
"188347","F",73
"188549","M",11
"188751","M",68
"189349","F",11
"189450","M",90
"190031","F",127
"191033","F",2
"191235","M",40
"191336","M",41
"191437","F",8
"192035","F",21
"192439","F",11
"192540","F",35
"192641","F",10
"192843","M",4
"193239","F",8
"194140","F",47
"194645","M",74
"194746","M",35
"195041","F",11
"195445","F",72
"195647","F",6
"195950","M",18
"196144","F",3
"196750","F",30
"197348","F",15
"197550","F",14
"198350","M",93
"198451","M",26
"198653","M",74
"198855","M",30
"199150","F",48
"199251","F",21
"199453","M",112
"200008","F",5
"200109","F",7
"200311","M",6
"200614","F",49
"201111","M",37
"201414","F",140
"201818","F",3
"202113","F",85
"203923","F",137
"204016","F",19
"204319","F",40
"204420","F",13
"204521","F",7
"204622","F",44
"205119","M",27
"205220","F",60
"205725","F",12
"205826","M",14
"206525","M",55
"206727","M",18
"207123","M",10
"207426","M",11
"208024","F",27
"208125","F",6
"208226","F",45
"208327","M",5
"209127","F",10
"209228","F",16
"209834","F",18
"209935","M",11
"210011","M",11
"210415","F",6
"210617","F",27
"211114","F",17
"211316","F",11
"211417","M",21
"211821","M",10
"211922","F",17
"212116","M",10
"212217","F",9
"212318","F",2
"212419","F",12
"212823","M",28
"214019","F",8
"214221","F",22
"214423","M",157
"214524","M",9
"214726","M",36
"217126","M",39
"217429","F",20
"219231","M",18
"220721","M",17
"221319","F",35
"223929","M",108
"227432","M",28
"228434","F",25
"233326","M",30
"239136","F",8
"239944","F",12
"245333","F",29
"246133","F",6
"248339","M",43
"249947","F",11
"250427","F",24
"250932","F",10
"251833","M",29
"255639","F",4
"255740","F",25
"256540","F",53
"257845","M",12
"263436","F",41
"268749","M",23
"268850","F",14
"275645","M",40
"283543","M",27
"285345","F",8
"285446","M",10
"286650","M",3
"287248","F",30
"289555","F",115
"290136","F",11
"293748","F",4
"295146","F",63
"298051","F",45
"298455","M",62
"300618","M",89
"303119","F",44
"303624","M",50
"304020","M",32
"304727","F",39
"305830","F",6
"307127","F",19
"309636","F",5
"310621","F",14
"311320","M",121
"316633","F",4
"316835","F",89
"318637","M",63
"322224","F",32
"329440","M",14
"329844","M",13
"330324","M",5
"333330","F",9
"334635","F",80
"341834","M",3
"342129","M",21
"346137","M",13
"346945","F",5
"348545","M",22
"349244","M",14
"352132","M",32
"352738","M",16
"353740","M",86
"356948","F",12
"358144","F",20
"361941","M",29
"365343","F",15
"366042","F",2
"366446","M",203
"368551","M",6
"371843","F",16
"377451","F",49
"378857","F",39
"379657","F",17
"380036","M",14
"381038","F",5
"381543","F",64
"385450","M",47
"387959","M",21
"389357","F",9
"390645","F",59
"392447","M",27
"395958","M",36
"397154","F",14
"397760","M",6
"397861","M",28
"406432","M",12
"406836","F",12
"412528","F",26
"414229","M",36
"422632","F",28
"424939","M",22
"429040","F",4
"432332","F",11
"436239","F",5
"436845","F",39
"441939","F",10
"445543","M",36
"448347","M",59
"456346","F",6
"459453","F",10
"467351","M",9
"475855","F",10
"479762","M",28
"481951","F",4
"485757","F",9
"486759","M",26
"495255","M",22
"497865","M",32
"499566","F",87
"500222","F",9
"510225","F",5
"512835","M",61
"513736","F",17
"519950","F",21
"520228","M",8
"523032","M",15
"524135","M",37
"525541","F",8
"529549","F",53
"529953","M",94
"530635","M",18
"531536","M",16
"536647","F",31
"540436","M",7
"541640","M",4
"541943","F",12
"545345","M",77
"547046","F",10
"548250","M",16
"555348","F",15
"557857","M",69
"559053","F",26
"561242","F",9
"562345","F",73
"562446","F",8
"565452","F",8
"566454","F",57
"567052","M",3
"567961","F",4
"568963","F",52
"570243","F",28
"571144","M",15
"572045","F",17
"573249","M",6
"573451","M",9
"579665","F",24
"579867","F",10
"580044","F",109
"580650","F",23
"580751","M",36
"581349","M",108
"581450","M",74
"583858","M",9
"585862","F",20
"586460","F",3
"587664","F",10
"588565","M",4
"592455","M",20
"594156","M",14
"598568","M",24
"599065","M",9
"599671","M",37
"601127","M",11
"611938","M",71
"613538","F",31
"615744","F",7
"620434","F",21
"623844","M",24
"626648","F",2
"627852","M",18
"633847","F",14
"638049","F",80
"645450","F",43
"645551","F",17
"654350","F",17
"654754","F",36
"656253","M",14
"660951","F",15
"665254","F",18
"667056","M",21
"668361","M",22
"671855","M",5
"672756","M",13
"673455","F",28
"677766","M",10
"677968","F",95
"679568","F",6
"679770","M",9
"680250","F",25
"680957","F",71
"683256","F",13
"685058","M",24
"687163","M",28
"690152","M",16
"695768","M",76
"700634","M",17
"702133","F",10
"704238","M",4
"705341","M",22
"707749","M",42
"713239","F",101
"715041","F",11
"715647","F",7
"715950","F",9
"720337","M",17
"725751","M",34
"727553","F",6
"727654","F",32
"729254","M",152
"729557","F",70
"732243","F",12
"735148","M",63
"737960","F",6
"742549","M",35
"748258","F",5
"748662","F",24
"749361","F",33
"751348","M",116
"753251","M",28
"756055","M",28
"759869","M",19
"761957","F",20
"765056","M",25
"769064","M",6
"770352","F",7
"773257","M",26
"782561","F",9
"784565","F",74
"788876","F",8
"789373","M",15
"792564","F",18
"793465","M",14
"800941","M",30
"802844","F",84
"803240","M",33
"814649","M",23
"816653","F",4
"820745","M",42
"825048","F",5
"826353","F",10
"826454","F",14
"833148","M",22
"833249","F",19
"837560","M",18
"837964","F",23
"841349","F",17
"844961","F",7
"845458","F",33
"849264","F",64
"849971","M",13
"852455","F",6
"856766","F",2
"856968","M",51
"857263","M",31
"859671","F",4
"861456","F",67
"865363","M",13
"867468","M",96
"870861","M",14
"871762","M",10
"871964","M",13
"872158","F",14
"872562","F",6
"873968","F",17
"877168","F",13
"877269","F",72
"878776","M",9
"878877","M",8
"882161","F",8
"884064","F",4
"885975","F",47
"887373","F",17
"889579","M",4
"891667","M",4
"894067","M",44
"894673","F",14
"894774","M",6
"896778","F",17
"896879","M",53
"898176","M",27
"899885","F",18
"901038","M",57
"901139","F",32
"901442","F",23
"904044","F",5
"907656","F",21
"910241","M",15
"912447","M",21
"917255","M",32
"922854","M",13
"923755","F",28
"926862","M",37
"930449","F",40
"932554","M",61
"937160","M",30
"942658","M",5
"947668","F",70
"951457","F",22
"952863","F",57
"955465","M",20
"959574","F",7
"965771","M",47
"971160","M",15
"978578","F",75
"979984","F",4
"983773","M",15
"984472","F",105
"990366","M",13
"991267","M",13
"992774","M",30
"993675","F",4
"996782","F",16
