"Subject","Family_ID"
"100307","51488_81352"
"100408","51730_81594"
"100610","52813_82634"
"101006","51283_52850_81149"
"101309","52385_82248"
"101915","51977_81841"
"102008","52018_81882"
"102311","51679_81543"
"102513","56077_85897"
"102816","51418_81283"
"103111","51351_81216"
"103414","52198_82061"
"103515","51537_52707_81401"
"103818","51343_81208"
"104012","51678_81542"
"104416","54643_84465"
"104820","51283_52850_81149"
"105014","51451_81316"
"105115","51820_81684"
"105216","51527_81391"
"105923","52925_82747"
"106319","51527_81391"
"106521","51468_81333"
"107018","51676_81540"
"107321","52493_82328_82671"
"107422","54628_84450"
"107725","52921_82743"
"108121","51566_81430"
"108222","52925_82747"
"108525","52586_99991_99992_99993"
"108828","52054_81918"
"109123","51750_81614"
"109325","52270_82133"
"110411","51303_81168"
"111009","51495_81359"
"111413","51476_81340"
"111514","51750_81614"
"112516","51340_81205"
"112920","51798_81662"
"113215","51424_81289"
"113619","51750_81614"
"113922","51752_81616"
"114217","55703_85525"
"114318","51989_81853"
"114419","52872_82694"
"114621","53303_83125"
"114823","99996_99997"
"115017","52158_82021"
"115219","52823_82644"
"115320","51305_81170"
"115825","56016_85837_99974"
"116524","52769_82590_99986"
"117122","51455_81320"
"117324","51529_81393_82672"
"117930","56120_85940"
"118023","51676_81540"
"118124","51421_81286"
"118225","52813_82634"
"118730","51419_81284"
"118932","51295_81161"
"120111","51476_81340"
"120212","51324_81189"
"120717","55706_85528"
"121416","51945_81809"
"121618","52907_82729"
"121921","51673_81537"
"122317","51802_81666"
"122822","51318_81183"
"123117","52496_82331"
"123420","51916_81780"
"123521","56073_85894"
"123723","51106_80975"
"123925","51644_81508_99994"
"124220","51485_81349"
"124624","51798_81662"
"124826","51351_81216"
"125525","51304_81169"
"126325","51477_81341"
"126628","52338_82201"
"127226","55892_85712"
"127630","52526_82359"
"127731","51529_81393_82672"
"127832","51300_81166"
"127933","51831_81695"
"128127","51593_81457"
"128632","51347_81212"
"128935","51707_81571"
"129028","51833_81697"
"129129","51678_81542"
"129331","52194_82057"
"130013","51478_81342"
"130114","55766_85587"
"130316","51559_81423"
"130417","52809_82630"
"130619","55694_85516"
"130821","56016_85837_99974"
"130922","51527_81391"
"131217","52251_82114"
"131419","55686_85508"
"131722","52364_82227"
"131924","52018_81882"
"132017","53000_82822"
"133019","51639_81503"
"133625","51833_81697"
"133827","51394_81259"
"133928","51716_82528"
"134324","51336_81201"
"134425","51336_81201"
"135225","52006_81870"
"135528","51672_81536"
"135730","53303_83125"
"135932","51424_81289"
"136227","52755_82576"
"136732","51676_81540"
"136833","51526_81390"
