"Subject","AngAffect_Unadj","AngHostil_Unadj","AngAggr_Unadj","FearAffect_Unadj","FearSomat_Unadj","Sadness_Unadj"
"100307",46.9,60.8,43.4,53.9,47.2,53.4
"100408",50.6,42.8,59.9,55.1,54.7,49.9
"100610",47.5,49.1,43.4,49.6,55.3,44.2
"101006",59,49,49.8,49.3,40.1,48.7
"101309",38.3,36.6,54.3,43.3,40.1,38.5
"101915",43.9,40.5,60.8,49,53,42.7
"102008",50.2,40.9,57.8,52.9,66,44.7
"102311",39.1,48.9,43.4,44.9,44.8,51
"102513",51.8,36.6,57,49.3,54.3,49.9
"102816",55.9,36.6,43.4,51.4,51.8,46.1
"103111",50.1,36.6,49.8,49.6,44.8,45.8
"103414",44.2,47.7,43.4,49,50.5,41.7
"103515",67.9,70.9,74.2,51.2,60.6,52.9
"103818",49.8,46,43.4,52.9,46.3,49.9
"104012",43.8,47.1,49.8,50.7,44.8,45
"104416",48.4,38,43.4,51.2,44.8,43.9
"104820",57.1,36.6,49.8,44.5,40.1,46.1
"105014",42.8,45.4,43.4,51.4,40.1,41.9
"105115",51.8,52.3,57.5,51.2,55.9,55
"105216",54.3,48.4,50.8,58,56.8,55.2
"105923",41.9,49.3,57.9,49.6,51,39.1
"106319",57,48,43.4,61.5,55.9,63.4
"106521",32,58.6,56.5,47.2,50.4,45.7
"107018",48,40.9,43.4,46.7,51.5,41.7
"107321",47.7,46.2,60,49.6,57.4,43.6
"107422",45.1,46.3,43.4,51.2,44.8,39.6
"107725",54.1,50.4,43.4,60.6,54.8,54.3
"108121",49,52.1,43.4,51.2,56.2,49.9
"108222",48.2,47.6,57,53.9,46.5,46.1
"108525",46.1,36.6,61.2,45.3,52.1,48.1
"108828",64.7,73.6,63.1,70.4,63.3,65.8
"109123",51.1,61.8,67.8,49,53,48.5
"109325",36,42.8,49.8,40.4,63.4,34.2
"110411",44.2,45,43.4,49,46.4,34.2
"111009",57.3,51.7,43.4,55.7,46.3,49.9
"111413",56.8,61.2,43.4,57.7,58,60.5
"111514",44.2,55.5,60.6,41.2,54.4,34.2
"112516",52.2,45.1,43.4,56,46.3,43.4
"112920",47.5,54.2,49.8,41.5,40.1,51.3
"113215",63.9,59.4,59.6,58.3,59.6,53.5
"113619",52.1,36.6,43.4,54.2,46.4,48.2
"113922",50.9,56.6,52.2,46,40.1,45.8
"114217",35.6,36.6,43.4,32.9,40.1,34.2
"114318",53.4,45.8,43.4,60.5,60,48.2
"114419",55.1,54.8,52.2,49,54.8,34.2
"114621",46.5,50,72,41.5,40.1,43.6
"114823",47.1,45,52.2,50.2,56.8,45.7
"115017",41.4,44.8,43.4,51.2,61.4,38.9
"115219",45.7,60.3,53.2,58,50.4,52.7
"115320",48.7,53,43.4,46,40.1,43.6
